"MachineGuid","Cleared","DateTime","Disqualified","Grade","Guid","Held","LetGo","MissedHold","LifeRemainingSeconds","MachineGuid","MaxCombo","Modifiers","Pad","PercentDP","PlayerGuid","ProductID","Air","Chaos","Fakes","Freeze","Hands","Holds","Jumps","Lifts","Mines","Notes","Rolls","Stream","TapsAndHolds","Voltage","Score","StageGuid","SurviveSeconds","AvoidMine","CheckpointHit","CheckpointMiss","HitMine","Miss","W1","W2","W3","W4","W5","Dir","Title","Difficulty","Level","StepsType","_id","_index","_score","_type"
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"60a5e459-6298-442d-abb2-80149d41fa8e",13,0,0,"0.000000",1dda8a3547c7dc6c,148,"2x, Overhead",33,"0.634600",3694d7d8e4a00efb,1,"0.730769","0.634630",0,"1.000000",0,13,26,0,0,"436.000000",0,"0.631111",410,"0.372730",764250,"3d1445e0-9bb4-45e1-a7ac-e8178b6c518d","94.856339",0,0,0,0,11,149,112,122,27,3,"Songs/16 DDR A/Youkoso Japari Park e/","ようこそジャパリパークへ",Hard,14,"dance-single",ozGGQWsBSsSJMY2ItRkG,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier03,"810063e4-227b-4d36-a864-e5c7d13e13fc",15,0,0,"0.000000",1dda8a3547c7dc6c,342,"2.25x, Overhead",33,"0.787100",3694d7d8e4a00efb,1,"0.833333","0.787115",0,"1.000000",0,15,6,0,0,"348.000000",0,"0.833333",342,"0.999857",912940,"8082a98d-7d80-4280-a91b-025bb65c2deb","107.494308",0,0,0,0,0,175,110,53,4,0,"Songs/16 DDR A/Dadadadadadadadadada/","打打打打打打打打打打",Medium,11,"dance-single",3DGGQWsBSsSJMY2ImhZq,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"4b1f0df4-1ffe-4c1f-ab98-28bdbc25a08c",17,0,0,"0.000000",1dda8a3547c7dc6c,153,"2.25x, Overhead",33,"0.687300",3694d7d8e4a00efb,1,"0.656250","0.687366",0,"1.000000",0,17,31,0,0,"472.000000",0,"0.692946",440,"0.379193",824030,"f76cca2f-3788-40ee-a205-a1c4fdfa80a8","125.213387",0,0,0,0,6,174,138,114,14,4,"Songs/16 DDR A/Oboro/","朧",Challenge,13,"dance-single",8zGGQWsBSsSJMY2IpBfv,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"50cd100a-4a65-4d7b-abcf-28ff09a33a9c",28,0,0,"0.000000",1dda8a3547c7dc6c,129,"1.5x, Overhead",33,"0.604600",3694d7d8e4a00efb,1,"0.533333","0.604690",0,"1.000000",0,28,45,0,0,"393.000000",0,"0.580723",349,"0.306863",734070,"97f763be-6f08-4593-ad9e-221d47723e03","101.836433",0,0,0,0,12,108,103,108,29,10,"Songs/16 DDR A/Determination/",Determination,Hard,14,"dance-single","_jGGQWsBSsSJMY2IpRdC",stepmania,,result
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"61aa1164-42c1-452e-a450-284bb96202e1",1,0,0,"0.000000",1dda8a3547c7dc6c,63,"2x, Overhead",33,"0.201400",3694d7d8e4a00efb,1,"0.125000","0.201412",0,"0.090909",0,1,7,0,0,"209.000000",0,"0.199067",201,"0.086405",245610,"8d207806-1dc7-4b08-ab7e-0aa8eca56f03","44.123085",0,0,0,0,15,67,54,59,18,6,"Songs/16 DDR A/Night of Knights/","ナイト・オブ・ナイツ",Hard,15,"dance-single",jzGGQWsBSsSJMY2IqhiO,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"f05c57ed-e8d3-4420-aaa7-2fc91389d52f",7,0,0,"0.000000",1dda8a3547c7dc6c,229,"2.25x, Overhead",33,"0.734200",3694d7d8e4a00efb,1,"0.875000","0.734270",0,"1.000000",0,7,48,0,0,"524.000000",0,"0.777366",476,"0.493519",861070,"f7ab7510-33d9-4a0b-ac59-eefd61472b45","132.829300",0,0,0,0,9,230,148,90,8,6,"Songs/16 DDR A/Shiawase ni nareru kakushi command ga arurashii/","幸せになれる隠しコマンドがあるらしい",Hard,13,"dance-single",5jGGQWsBSsSJMY2ImhbR,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"f2ce61a8-79a7-4c40-a202-97cbbf59c380",13,0,0,"0.000000",1dda8a3547c7dc6c,137,"2.25x, Overhead",33,"0.637200",3694d7d8e4a00efb,1,"0.820513","0.637285",0,"1.000000",0,13,39,0,0,"664.000000",0,"0.633041",625,"0.207790",769980,"27deed2d-756e-4ad9-a2e0-2fb40cf3d2ab","151.108215",0,0,0,0,13,227,180,178,40,7,"Songs/16 DDR A/Nou shou sakuretsu girl/","脳漿炸裂ガール",Challenge,14,"dance-single",7zGGQWsBSsSJMY2IpBfG,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"3fe5278a-18fe-4bf8-af58-468569c4605b",11,0,0,"0.000000",1dda8a3547c7dc6c,91,"2x, Overhead",33,"0.633600",3694d7d8e4a00efb,1,"0.468750","0.633641",0,"1.000000",0,11,31,0,0,"429.000000",0,"0.615385",399,"0.224375",759320,"ba649bd9-a9d4-47de-a1d6-a16bf4608aa4","101.591263",0,0,0,0,18,153,113,107,26,6,"Songs/16 DDR A/Arifureta sekai seifuku/","ありふれたせかいせいふく",Hard,14,"dance-single","-zGGQWsBSsSJMY2IpRcw",stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"8a42db5c-5e6d-436f-ae62-7622f9de3d1f",6,0,0,"0.000000",1dda8a3547c7dc6c,267,"2.25x, Overhead",33,"0.699800",3694d7d8e4a00efb,1,"0.750000","0.699883",0,"1.000000",0,6,8,0,0,"561.000000",0,"0.710801",553,"0.440814",820680,"b2c44516-ed97-4d1c-a23a-269dd23f72ac","128.012207",0,0,0,0,9,253,149,126,25,4,"Songs/16 DDR A/Kurokami midareshi shura to narite ~Rin edition~/","黒髪乱れし修羅となりて～凛edition～",Hard,14,"dance-single",AzGGQWsBSsSJMY2IpRht,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"343c4e15-cfc6-4484-a5aa-6235f78cd241",45,0,1,"0.000000",1dda8a3547c7dc6c,168,"2.25x, Overhead",33,"0.720700",3694d7d8e4a00efb,1,"0.695652","0.720721",0,"0.978261",0,45,21,0,0,"448.000000",0,"0.731441",425,"0.390229",852040,"a1e6035d-40d3-4c28-af56-61dba4fd9a4f","121.615013",0,0,0,0,7,173,143,100,9,3,"Songs/16 DDR A/Hello, planet/","*ハロー、プラネット。",Hard,13,"dance-single",BDGGQWsBSsSJMY2IpRh4,stepmania,,result
